,Resource,ComplexityOfRepair
131,Solver,Medium
132,Solver,Complex
133,Solver,Simple
134,Solver,Simple
135,Solver,Complex
136,Solver,Simple
137,Solver,Simple
138,Solver,Complex
139,Solver,Simple
140,Solver,Simple
141,Solver,Complex
142,Solver,Simple
143,Solver,Simple
144,Solver,Complex
145,Solver,Complex
146,Solver,Simple
147,Solver,Complex
148,Solver,Medium
149,Solver,Simple
150,Solver,Complex
151,Solver,Medium
152,Solver,Simple
153,Solver,Complex
154,Solver,Medium
155,Solver,Simple
156,Solver,Complex
157,Solver,Medium
158,Solver,Medium
159,Solver,Complex
160,Solver,Simple
161,Solver,Medium
162,Solver,Complex
163,Solver,Complex
164,Solver,Medium
165,Solver,Complex
166,Solver,Complex
167,Solver,Medium
168,Solver,Complex
169,Solver,Simple
170,Solver,Complex
171,Solver,Complex
172,Solver,Medium
173,Solver,Medium
174,Solver,Complex
175,Solver,Medium
176,Solver,Medium
177,Solver,Complex
178,Solver,Medium
179,Solver,Medium
180,Solver,Complex
181,Solver,Medium
182,Solver,Medium
183,Solver,Complex
184,Solver,Simple
185,Solver,Simple
186,Solver,Complex
187,Solver,Simple
188,Solver,Simple
189,Solver,Complex
190,Solver,Simple
191,Solver,Simple
192,Solver,Complex
193,Solver,Simple
194,Solver,Simple
195,Solver,Complex
196,Solver,Simple
197,Solver,Simple
198,Solver,Complex
199,Solver,Simple
200,Solver,Simple
201,Solver,Complex
202,Solver,Simple
203,Solver,Simple
204,Solver,Complex
205,Solver,Simple
206,Solver,Simple
207,Solver,Complex
208,Solver,Medium
209,Solver,Simple
210,Solver,Complex
211,Solver,Medium
212,Solver,Simple
213,Solver,Complex
214,Solver,Medium
215,Solver,Simple
216,Solver,Complex
217,Solver,Medium
218,Solver,Simple
219,Solver,Complex
220,Solver,Medium
221,Solver,Simple
222,Solver,Complex
223,Solver,Medium
224,Solver,Simple
225,Solver,Complex
226,Solver,Medium
227,Solver,Simple
228,Solver,Complex
229,Solver,Medium
230,Solver,Simple
231,Solver,Complex
232,Solver,Medium
233,Solver,Medium
234,Solver,Complex
235,Solver,Simple
236,Solver,Medium
237,Solver,Complex
238,Solver,Simple
239,Solver,Medium
240,Solver,Complex
241,Solver,Simple
242,Solver,Medium
243,Solver,Complex
244,Solver,Simple
245,Solver,Medium
246,Solver,Complex
247,Solver,Simple
248,Solver,Medium
249,Solver,Complex
250,Solver,Simple
251,Solver,Medium
252,Solver,Complex
253,Solver,Simple
254,Solver,Medium
255,Solver,Complex
256,Solver,Simple
257,Solver,Medium
258,Solver,Complex
259,Solver,Medium
260,Solver,Medium
261,Solver,Complex
262,Solver,Medium
263,Solver,Medium
264,Solver,Complex
265,Solver,Medium
266,Solver,Medium
267,Solver,Complex
268,Solver,Medium
269,Solver,Medium
270,Solver,Complex
271,Solver,Medium
272,Solver,Medium
273,Solver,Complex
274,Solver,Medium
275,Solver,Medium
276,Solver,Complex
277,Solver,Medium
278,Solver,Medium
279,Solver,Complex
280,Solver,Simple
281,Solver,Simple
282,Solver,Complex
283,Solver,Simple
284,Solver,Simple
285,Solver,Complex
286,Solver,Simple
287,Solver,Simple
288,Solver,Complex
289,Solver,Simple
290,Solver,Simple
291,Solver,Complex
292,Solver,Medium
293,Solver,Simple
294,Solver,Complex
295,Solver,Medium
296,Solver,Simple
297,Solver,Complex
298,Solver,Medium
299,Solver,Simple
300,Solver,Complex
301,Solver,Medium
302,Solver,Simple
303,Solver,Complex
304,Solver,Medium
305,Solver,Medium
306,Solver,Complex
307,Solver,Simple
308,Solver,Medium
309,Solver,Complex
310,Solver,Simple
311,Solver,Medium
312,Solver,Complex
313,Solver,Simple
314,Solver,Medium
315,Solver,Complex
316,Solver,Simple
317,Solver,Medium
318,Solver,Complex
319,Solver,Medium
320,Solver,Medium
321,Solver,Complex
322,Solver,Medium
323,Solver,Medium
324,Solver,Complex
325,Solver,Medium
326,Solver,Medium
327,Solver,Complex
328,Solver,Medium
329,System,Medium
330,System,Medium
331,Solver,Simple
332,Solver,Medium
333,Solver,Medium
334,Solver,Medium
335,Solver,Medium
336,Solver,Simple
337,Solver,Medium
338,Solver,Simple
339,Solver,Medium
340,Solver,Simple
341,Solver,Medium
342,Solver,Simple
343,Solver,Simple
344,Solver,Simple
345,Solver,Medium
346,Solver,Medium
347,Solver,Simple
348,Solver,Simple
349,Solver,Medium
350,Solver,Medium
351,Solver,Medium
352,Solver,Simple
353,Solver,Medium
354,Solver,Simple
355,Solver,Simple
356,Solver,Simple
357,Solver,Medium
358,Solver,Medium
359,Solver,Medium
360,Solver,Simple
361,Solver,Medium
362,Solver,Medium
363,Solver,Simple
364,Solver,Medium
365,Solver,Simple
366,Solver,Medium
367,Solver,Simple
368,Solver,Simple
369,Solver,Simple
370,Solver,Medium
371,Tester,Simple
372,Tester,Simple
373,Tester,Medium
374,Tester,Medium
375,Solver,Complex
376,Solver,Complex
377,Solver,Complex
378,Solver,Complex
379,Solver,Complex
380,Solver,Complex
381,Solver,Complex
382,Solver,Complex
383,Solver,Complex
384,Solver,Complex
385,Solver,Complex
386,Solver,Complex
387,Solver,Complex
388,Solver,Complex
389,Solver,Complex
390,Solver,Complex
391,Solver,Complex
392,Solver,Complex
393,Solver,Simple
394,System,Simple
395,System,Medium
396,System,Medium
397,System,Simple
398,System,Simple
399,System,Medium
400,System,Medium
401,System,Simple
402,System,Medium
403,System,Medium
404,System,Simple
405,System,Simple
406,System,Medium
407,System,Simple
408,System,Medium
409,System,Medium
410,System,Simple
411,System,Simple
412,System,Medium
413,System,Medium
414,System,Simple
415,System,Medium
416,System,Simple
417,System,Simple
418,System,Complex
419,System,Complex
420,System,Complex
421,System,Complex
422,System,Complex
423,System,Complex
424,System,Complex
425,System,Complex
426,System,Complex
427,System,Complex
428,System,Complex
429,System,Complex
430,Solver,Complex
431,Solver,Simple
432,Solver,Simple
433,Solver,Medium
434,Solver,Medium
435,Solver,Medium
436,Solver,Simple
437,Solver,Simple
438,Solver,Simple
439,Solver,Simple
440,Solver,Medium
441,Solver,Medium
442,Solver,Medium
443,Solver,Medium
444,Solver,Simple
445,Solver,Medium
446,Solver,Medium
447,Solver,Medium
448,Solver,Simple
449,Solver,Simple
450,Solver,Simple
451,Solver,Simple
452,Solver,Medium
453,Solver,Medium
454,Solver,Complex
455,Solver,Complex
456,Solver,Complex
457,Solver,Complex
458,Solver,Complex
459,Solver,Complex
460,Solver,Complex
461,Solver,Complex
462,Solver,Complex
463,Solver,Complex
464,Solver,Complex
465,Solver,Complex
466,Solver,Complex
467,Solver,Complex
468,Solver,Complex
469,Solver,Complex
470,Solver,Simple
471,System,Medium
472,Solver,Simple
473,Tester,Complex
474,Solver,Simple
475,Solver,Simple
476,Solver,Medium
477,Solver,Medium
478,Solver,Medium
479,Solver,Simple
480,Solver,Medium
481,Solver,Medium
482,Solver,Simple
483,Solver,Simple
484,Solver,Simple
485,Solver,Simple
486,Solver,Medium
487,Solver,Medium
488,Solver,Medium
489,Solver,Medium
490,Solver,Medium
491,Solver,Simple
492,Solver,Simple
493,Solver,Simple
494,Solver,Simple
495,Solver,Medium
496,Solver,Medium
497,Tester,Medium
498,Tester,Simple
499,Tester,Medium
500,Tester,Medium
501,Tester,Simple
502,Tester,Simple
503,Tester,Simple
504,Tester,Medium
505,Solver,Simple
506,Solver,Simple
507,Solver,Simple
508,Solver,Medium
509,Solver,Medium
510,Solver,Medium
511,Solver,Simple
512,Solver,Simple
513,Solver,Medium
514,Solver,Medium
515,Solver,Complex
516,Solver,Medium
517,Solver,Medium
518,Solver,Simple
519,Solver,Simple
520,Solver,Simple
521,Solver,Medium
522,Solver,Medium
523,Solver,Simple
524,Solver,Simple
525,Solver,Medium
526,Solver,Medium
527,Solver,Medium
528,Solver,Medium
529,Solver,Simple
530,Solver,Simple
531,Solver,Simple
532,Solver,Simple
533,Solver,Simple
534,Solver,Medium
535,Solver,Medium
536,Solver,Medium
537,Solver,Medium
538,Solver,Simple
539,Solver,Simple
540,Solver,Complex
541,Solver,Simple
542,Solver,Simple
543,Solver,Simple
544,Solver,Medium
545,Solver,Medium
546,Solver,Medium
547,Solver,Simple
548,Solver,Simple
549,Solver,Medium
550,Solver,Medium
551,Solver,Simple
552,Solver,Simple
553,Solver,Medium
554,Solver,Medium
555,Solver,Medium
556,Solver,Simple
557,Solver,Medium
558,Solver,Simple
559,Solver,Simple
560,Solver,Simple
561,Solver,Simple
562,Solver,Medium
563,Solver,Medium
564,Solver,Medium
565,Solver,Medium
566,Solver,Medium
567,Solver,Simple
568,Solver,Simple
569,Solver,Simple
570,Solver,Simple
571,Solver,Medium
572,Solver,Medium
573,Solver,Medium
574,System,Simple
575,System,Simple
576,Solver,Simple
577,Solver,Simple
578,Solver,Simple
