,Resource,DefectFixed,NumberRepairs
328,Tester,true,3
329,Tester,true,3
330,Tester,true,3
331,Solver,false,3
332,System,true,3
333,System,true,3
334,System,true,3
335,Solver,true,1
336,Solver,true,1
337,Solver,false,0
338,Solver,false,0
339,Solver,false,3
340,Solver,true,3
341,Solver,true,3
342,Solver,false,3
343,Solver,false,3
344,Solver,true,3
345,Solver,true,3
346,Solver,false,3
347,System,false,2
348,System,true,0
349,System,true,0
350,System,false,1
351,System,false,3
352,System,true,3
353,System,true,3
354,System,false,3
355,System,false,3
356,System,true,3
357,System,true,3
358,System,false,3
359,Tester,false,3
360,Tester,true,1
361,Tester,true,0
362,Tester,false,0
363,Tester,false,1
364,Tester,false,3
365,Tester,true,3
366,Tester,true,3
367,Tester,false,3
368,Tester,false,3
369,Tester,true,3
370,Tester,true,3
371,Solver,false,3
372,Solver,false,3
373,Solver,false,3
374,Solver,false,3
375,Solver,false,3
376,Solver,true,3
377,Solver,false,3
378,Solver,false,3
379,Solver,true,3
380,Solver,true,3
381,Solver,true,3
382,Solver,false,3
383,System,true,3
384,System,true,3
385,System,false,3
386,System,false,3
387,System,true,3
388,System,false,3
389,System,true,3
390,System,false,3
391,Tester,true,3
392,Tester,true,3
393,Tester,true,3
394,System,true,3
395,System,true,3
396,System,true,0
397,System,true,3
398,System,true,2
399,System,true,3
400,System,true,3
401,System,true,3
402,System,true,3
403,System,true,0
404,System,true,3
405,System,true,2
406,Tester,true,3
407,Tester,true,3
408,Tester,true,3
409,Tester,true,2
410,Tester,true,3
411,Tester,true,1
412,Tester,true,3
413,Tester,true,2
414,Tester,true,3
415,Tester,true,3
416,Tester,true,0
417,Tester,true,3
418,Tester,true,3
419,System,true,3
420,System,true,3
421,System,true,3
422,System,true,3
423,Tester,true,3
424,Tester,true,3
425,Tester,true,3
426,Tester,true,3
427,System,true,3
428,System,true,3
429,Tester,true,3
430,Tester,true,3
431,System,true,3
432,System,false,3
433,System,false,3
434,System,true,3
435,System,false,0
436,System,true,3
437,System,true,2
438,System,false,1
439,System,false,3
440,System,true,1
441,System,true,3
442,System,false,3
443,Tester,false,3
444,Tester,false,3
445,Tester,false,3
446,Tester,true,3
447,Tester,false,0
448,Tester,true,3
449,Tester,true,1
450,Tester,false,2
451,Tester,false,3
452,Tester,true,0
453,Tester,true,3
454,Tester,false,3
455,System,true,3
456,System,false,3
457,System,false,3
458,System,true,3
459,Tester,false,3
460,Tester,true,3
461,Tester,true,3
462,Tester,true,3
463,System,true,3
464,System,false,3
465,System,false,3
466,System,true,3
467,Tester,false,3
468,Tester,false,3
469,Solver,true,3
470,Solver,true,3
471,Tester,true,3
472,Solver,false,3
473,Solver,false,3
474,Solver,true,3
475,Solver,false,3
476,Solver,false,3
477,Solver,true,3
478,Solver,false,3
479,Solver,true,3
480,Solver,true,3
481,Solver,true,3
482,Solver,true,1
483,Solver,false,1
484,Solver,false,3
485,Solver,true,3
486,Solver,false,3
487,Solver,true,2
488,Solver,false,2
489,Solver,true,3
490,Solver,false,3
491,Solver,true,1
492,Solver,false,1
493,Solver,false,3
494,Solver,true,3
495,Solver,false,1
496,Solver,true,0
497,Solver,false,3
498,Solver,false,3
499,Solver,false,3
500,Solver,false,3
501,Solver,false,3
502,Solver,false,3
503,Solver,false,3
504,Solver,false,3
505,Tester,false,3
506,Tester,true,3
507,Tester,false,3
508,Tester,false,3
509,Tester,true,3
510,Tester,false,3
511,Tester,true,3
512,Tester,false,3
513,Tester,true,3
514,Tester,true,3
515,Solver,false,3
516,Solver,true,3
517,Solver,false,3
518,Solver,false,3
519,Solver,true,3
520,Solver,false,3
521,Solver,true,3
522,Solver,false,3
523,Solver,true,3
524,Solver,true,3
525,Solver,true,1
526,Solver,false,1
527,Solver,false,3
528,Solver,true,3
529,Solver,false,3
530,Solver,true,2
531,Solver,false,2
532,Solver,true,3
533,Solver,false,3
534,Solver,true,0
535,Solver,false,1
536,Solver,false,3
537,Solver,true,3
538,Solver,false,1
539,Solver,true,2
540,Solver,false,3
541,Solver,false,3
542,Solver,true,3
543,Solver,false,3
544,Solver,false,3
545,Solver,true,3
546,Solver,false,3
547,Solver,true,3
548,Solver,false,3
549,Solver,true,3
550,Solver,true,3
551,Solver,true,3
552,Solver,false,3
553,Solver,false,3
554,Solver,true,3
555,Solver,false,3
556,Solver,true,3
557,Solver,true,1
558,Solver,true,1
559,Solver,false,1
560,Solver,false,3
561,Solver,true,3
562,Solver,false,3
563,Solver,true,2
564,Solver,false,2
565,Solver,true,3
566,Solver,true,3
567,Solver,true,2
568,Solver,false,1
569,Solver,false,3
570,Solver,true,3
571,Solver,false,3
572,Solver,true,0
573,Solver,false,2
574,Tester,true,0
575,System,true,1
576,Solver,false,1
577,System,true,0
578,System,true,0
